SRR1262805	10525.6756550998	0.00145055589015384	9157193
NY440A	10525.8892264368	0.00175874807955847	9157193
HN12A	10526.1445454007	0.020863648245256	9157193
SRR2016756	10525.9780577178	0.00197386584771852	9157193
SRR1262790	10526.0813332541	0.00851182287763417	9157193
SRR2016745	10525.9613292395	0.00153156495324848	9157193
YB4A	10526.0430914854	0.00509212200204154	9157193
QC10A	10526.0161598644	0.00180679700159981	9157193
QC11A	10526.0079360458	0.00173665274637325	9157193
SRR2016778	10526.0899839918	0.00125835604705183	9157193
SRR1262658	10527.5110004501	0.110354172982042	9157193
YN234A	10526.7861534032	0.0394015359645007	9157193
SRR2016752	10526.0964882087	0.00363902972328545	9157193
HN14A	10525.8992625624	0.013940452257556	9157193
SRR1262806	10526.2257473289	0.00149045361694947	9157193
SRR1262789	10526.0772951592	0.0187048017798207	9157193
LX4A	10526.0718498985	0.00167931084028905	9157193
AGS10A	10527.3856776661	0.0656787170808929	9157193
SRR1262661	10526.6686702405	0.108408057852674	9157193
LQ686A	10526.1349853844	0.00160959614727808	9157193

#Individuals_average: 10526.2372224419	0.0205445130967962
