GO	x2	list1InGO	list1OutGO	list2InGO	list2OutGO
GO:0042407	 1.81003982250723e-09 	1	17	6	18681
GO:0042454	 0.842685108629383 	1	17	393	18294
GO:0042802	 0.999999999999964 	1	17	929	17758
GO:0042803	 0.999999999999536 	1	17	624	18063
GO:0042995	 0.0474849943079321 	3	15	812	17875
GO:0043005	 0.0919472042100145 	2	16	435	18252
GO:0043038	 0.0541625033051621 	1	17	55	18632
GO:0043039	 0.0541625033051621 	1	17	55	18632
GO:0043114	 0.000986315942117378 	1	17	21	18666
GO:0043130	 0.0886222972018906 	1	17	67	18620
GO:0043167	 0.65019172118812 	7	11	5822	12865
GO:0043168	 0.999999999999829 	3	15	2778	15909
GO:0043169	 0.593556228876944 	5	13	3731	14956
GO:0043170	 0.391958519858883 	7	11	5070	13617
GO:0043226	 0.577178482795545 	8	10	6611	12076
GO:0043227	 0.253665271972616 	7	11	4583	14104
GO:0043228	 0.964237608130656 	2	16	2665	16022
GO:0043229	 0.539176034144523 	8	10	6497	12190
GO:0043231	 0.221492747573469 	7	11	4452	14235
GO:0043232	 0.964237608130656 	2	16	2665	16022
GO:0043233	 0.849789765628053 	1	17	398	18289
GO:0043234	 0.307332600557439 	7	11	4784	13903
GO:0043240	 5.38837227443731e-06 	1	17	11	18676
GO:0043412	 0.999999999999991 	2	16	2150	16537
GO:0043436	 0.974326471581311 	2	16	1518	17169
GO:0043566	 0.652425905144223 	1	17	278	18409
GO:0043623	 0.495332109420782 	1	17	205	18482
GO:0043632	 0.689805316191087 	1	17	298	18389
GO:0043933	 0.886798168596393 	2	16	1392	17295
GO:0044237	 0.952111621933186 	7	11	6621	12066
GO:0044238	 0.999999999999686 	7	11	6757	11930
GO:0044248	 0.500872232920724 	3	15	1734	16953
GO:0044249	 0.672174872876975 	1	17	2153	16534
GO:0044260	 0.216314766824686 	7	11	4430	14257
GO:0044265	 0.392978005119961 	2	16	796	17891
GO:0044267	 0.420377524440138 	4	14	2437	16250
GO:0044270	 0.533648721245836 	2	16	953	17734
GO:0044281	 0.9999999999997 	3	15	2714	15973
GO:0044344	 0.259217835485046 	1	17	120	18567
GO:0044389	 0.361426578728328 	1	17	154	18533
GO:0044422	 0.913334963590748 	7	11	6519	12168
GO:0044424	 0.126665480375542 	15	3	11807	6880
GO:0044425	 0.0171702081873133 	1	17	6571	12116
GO:0044427	 0.999999999999994 	1	17	941	17746
GO:0044428	 0.99999999999989 	3	15	2673	16014
GO:0044429	 0.999999999999984 	1	17	753	17934
GO:0044430	 0.0386763154234008 	4	14	1307	17380
GO:0044444	 0.686930228350536 	5	13	6558	12129
GO:0044446	 0.872184098398244 	7	11	6411	12276
GO:0044451	 0.999999999999996 	1	17	673	18014
GO:0044454	 0.608732434659939 	1	17	256	18431
GO:0044464	 0.513102923090077 	16	2	14937	3750
GO:0045184	 0.999999999999218 	1	17	1145	17542
GO:0045185	 0.155630528401863 	1	17	88	18599
GO:0045214	 0.000986315942117378 	1	17	21	18666
GO:0045739	 0.123146371259203 	1	17	78	18609
GO:0045892	 0.999999999999993 	1	17	799	17888
GO:0045934	 0.999999999999952 	1	17	925	17762
GO:0045935	 0.999999999999867 	1	17	1229	17458
GO:0046039	 0.6046165551113 	1	17	254	18433
GO:0046128	 0.999999999999957 	1	17	535	18152
GO:0046130	 0.838382918823695 	1	17	390	18297
GO:0046434	 0.999999999999189 	1	17	561	18126
GO:0046483	 0.679717269542281 	4	14	2968	15719
GO:0046700	 0.535409047864133 	2	16	955	17732
GO:0046872	 0.51539336417281 	5	13	3547	15140
GO:0046907	 0.999999999999218 	1	17	1145	17542
GO:0046914	 0.210267387044932 	4	14	1946	16741
GO:0046983	 0.99999999999939 	1	17	1081	17606
GO:0048284	 0.0137119732695893 	1	17	36	18651
GO:0048285	 0.413980033798027 	1	17	173	18514
GO:0048513	 0.504457692382753 	2	16	920	17767
GO:0048518	 0.287180083354187 	1	17	3358	15329
GO:0048519	 0.99999999999993 	3	15	3040	15647
GO:0048522	 0.361196069739732 	1	17	3043	15644
GO:0048523	 0.999999999999633 	3	15	2785	15902
GO:0048583	 0.679973189123062 	1	17	2136	16551
GO:0048584	 0.999999999999923 	1	17	1102	17585
GO:0048608	 0.271758684271497 	1	17	124	18563
GO:0048856	 0.999999999999959 	2	16	2155	16532
GO:0048869	 0.919682179677599 	1	17	1685	17002
GO:0048870	 0.999999999999479 	1	17	556	18131
GO:0050789	 0.404674117455363 	7	11	9622	9065
GO:0050794	 0.514754171074797 	7	11	9222	9465
GO:0050821	 0.0766488902720051 	1	17	63	18624
GO:0050896	 0.283054908873278 	4	14	6959	11728
GO:0050931	 0.000728523873648822 	1	17	20	18667
GO:0051020	 0.000269498632305937 	2	16	144	18543
GO:0051052	 0.63291638417919 	1	17	268	18419
GO:0051054	 0.34704687991111 	1	17	149	18538
GO:0051084	 0.0168084719000391 	1	17	38	18649
GO:0051128	 0.999999999999177 	1	17	1280	17407
GO:0051129	 0.823823484346137 	1	17	380	18307
GO:0051171	 0.928427734436274 	4	14	3479	15208
GO:0051172	 0.999999999999972 	1	17	946	17741
GO:0051173	 0.999999999999971 	1	17	1253	17434
GO:0051179	 0.743823269259152 	1	17	329	18358
GO:0051234	 0.663293613093765 	2	16	3330	15357
GO:0051235	 0.293392303189203 	1	17	131	18556
GO:0051252	 0.999999999999765 	3	15	2746	15941
GO:0051253	 0.999999999999141 	1	17	839	17848
GO:0051258	 0.0541625033051621 	1	17	55	18632
GO:0051320	 0.207946251344043 	1	17	104	18583
GO:0051603	 0.707726536752881 	1	17	308	18379
GO:0051604	 0.175284397747235 	1	17	94	18593
GO:0051641	 0.60047567916218 	1	17	252	18435
GO:0051649	 0.999999999999993 	1	17	1460	17227
GO:0051716	 0.620356565420891 	4	14	5676	13011
GO:0051726	 0.99999999999985 	1	17	687	18000
GO:0055086	 0.999999999999285 	1	17	836	17851
GO:0060255	 0.999999999999897 	4	14	4077	14610
GO:0060563	 0.00390884753204358 	1	17	27	18660
GO:0061024	 0.572933329153745 	1	17	239	18448
GO:0061025	 0.0390331883554419 	1	17	49	18638
GO:0065003	 0.549452876875525 	2	16	971	17716
GO:0065007	 0.924229883331791 	9	9	10072	8615
GO:0065008	 0.738766474039679 	3	15	2128	16559
GO:0070011	 0.214380595119884 	2	16	595	18092
GO:0070013	 0.804374161963033 	1	17	367	18320
GO:0070536	 0.000241619455370796 	1	17	17	18670
GO:0070555	 0.0463788259901324 	1	17	52	18635
GO:0070646	 0.188380153433881 	1	17	98	18589
GO:0070647	 0.999999999999993 	1	17	594	18093
GO:0070727	 0.502526681116645 	1	17	208	18479
GO:0070848	 0.852608961903599 	1	17	400	18287
GO:0070887	 0.836945112048364 	2	16	1324	17363
GO:0071156	 0.299496864606605 	1	17	133	18554
GO:0071157	 0.0489275404555629 	1	17	53	18634
GO:0071310	 0.66313108689663 	2	16	1104	17583
GO:0071344	 1.22722059363746e-15 	1	17	3	18684
GO:0071345	 0.695233508813802 	1	17	301	18386
GO:0071347	 0.00968333156884869 	1	17	33	18654
GO:0071363	 0.829688161938621 	1	17	384	18303
GO:0071495	 0.999999999999956 	1	17	610	18077
GO:0071702	 0.925776944409147 	1	17	1675	17012
GO:0071704	 0.999999999999766 	7	11	6993	11694
GO:0071774	 0.259217835485046 	1	17	120	18567
GO:0071822	 0.783696990331246 	2	16	1254	17433
GO:0071840	 0.524205908669556 	5	13	3568	15119
GO:0072521	 0.999999999999997 	1	17	677	18010
GO:0072523	 0.869259081400635 	1	17	412	18275
GO:0080090	 0.999999999999875 	4	14	4410	14277
GO:0080134	 0.999999999999948 	1	17	683	18004
GO:0080135	 0.728599652858244 	1	17	320	18367
GO:0090304	 0.660600580007081 	3	15	1997	16690
GO:0090305	 0.361426578728328 	1	17	154	18533
GO:0097159	 0.248414446839122 	8	10	5471	13216
GO:2000112	 0.99999999999992 	3	15	2929	15758
GO:2000113	 0.999999999999243 	1	17	906	17781
GO:2000177	 0.0300224082012357 	1	17	45	18642
GO:2000779	 0.0825854556976447 	1	17	65	18622
GO:2000781	 0.0344084232181948 	1	17	47	18640
GO:2001020	 0.296448925609489 	1	17	132	18555
GO:2001022	 0.175284397747235 	1	17	94	18593
GO:2001032	 0.0300224082012357 	1	17	45	18642
GO:2001034	 0.0279245761030234 	1	17	44	18643
GO:2001141	 0.99999999999973 	3	15	2610	16077
GO:2001251	 0.145829289354116 	1	17	85	18602
